,username,album,artist,date_posted,url
31,@vascovarelas,Joshua,French 79,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/7f85ff3793889e0989f116c8a825cb87.jpg
32,@tom_spence_1039,Came Here For Love,Sigala,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/7ea90c1400f62f18a05d79b54f15f7f5.jpg
33,"@_livia_jane, @abbiepattinson.xox, @soupremacist",Fine Line,Harry Styles,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/7de796d102c513bc59f75f7e8850b84a.jpg
34,"@arshism, @deibidub, @cailoutsold",Smile,Katy Perry,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/7bed87e088f191e08f3d9ab2509cca3a.jpg
35,"@liz.meader81, @charlottesimpsonxox, @theperksofbeingbxiley, @alexwebsterrr, @ryliemayerr",From Under the Cork Tree,Fall Out Boy,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/73ff2d6aea6d465ac6b9a697ce4c6168.jpg
36,"@_avinabaguha_, @javiebecerra, @maryensss, @stutiipatel, @_alexandralungu_, @pardonmyswag_, @lilymckne",Nectar,Joji,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/71da7e08ec27c0c83b1133c0e6d1ca51.jpg
37,@neinavarro,Deep Cuts,The Knife,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/6c435df6ae44422c968542ef9d267944.jpg
38,@hetfieldswhiplash,Dr. Feelgood,Mötley Crüe,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/6c248d8c89564a34ca4c3dfa70c1e9e8.jpg
39,"@sydneynicoleking, @cami.s_22, @avreearnold",Wonder,Shawn Mendes,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/68e15f424f428f5f528ed19aa0995e39.jpg
40,@hugo.howee,(What’s The Story) Morning Glory?,Oasis,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/6466bdcba1b646f6a394467dec70e0aa.jpg
41,@cloud._.berg_,Collapsed In Sunbeams,Arlo Parks,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/64502ded79e928c57b7b49c36492144f.jpg
42,@jhair_salvador,Tell Me About Tomorrow,jxdn,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/61cdafbb850cce0c33348b9df963e2ef.jpg
